Code,n,Precision,Recall,F1
E11,113,0.70,0.81,0.75
E12,31,1.00,0.71,0.83
E21,20,0.94,0.75,0.83
E22,27,1.00,0.56,0.71
E23,27,0.92,0.81,0.86
E24,29,0.74,0.90,0.81
E25,22,1.00,0.64,0.78
E31,71,0.49,0.59,0.54
E32,37,0.84,0.73,0.78
E33,32,0.95,0.66,0.78
H11,16,0.54,0.88,0.67
H12,22,0.77,0.91,0.83
H21,32,0.59,0.84,0.69
H22,22,0.64,0.82,0.72
H31,35,0.90,0.74,0.81
H41,28,0.88,0.75,0.81
S11,25,0.95,0.72,0.82
S21,31,0.97,0.90,0.93
S22,22,1.00,0.95,0.98
S31,28,0.62,0.89,0.74
S41,28,0.77,0.86,0.81
S42,23,0.95,0.87,0.91
S43,42,0.88,0.71,0.79
S44,37,0.69,0.54,0.61
Macro,800,,,0.78
